Bin,RMSE
217.5,2.590594497700518
212.5,2.513232177027286
207.5,1.8536650256466949
202.5,2.2808041040040665
197.5,1.9568464872837357
192.5,2.570594646874419
187.5,2.151382537330773
182.5,2.179569706245137
177.5,2.1449989651052954
222.5,1.8910899047247995
327.5,1.9853218103266477
7.5,2.316558584515286
357.5,2.2648639942101925
347.5,2.0937377928738625
157.5,2.3812096711677766
32.5,2.296572258194661
282.5,2.1705108080350777
337.5,2.374786065499346
342.5,2.4835867676648293
82.5,2.38012819084024
12.5,2.181700581223
47.5,2.1824581451417915
57.5,2.150952640285161
52.5,2.1026033945217337
102.5,2.4836928503556335
127.5,2.1389553479897465
87.5,2.3509604120371006
62.5,2.0298751759183014
17.5,2.1635263726941356
22.5,2.036605844946095
2.5,2.340020253603484
147.5,2.109958875326906
72.5,2.3174286745514996
287.5,2.2429933552295744
352.5,2.2057665572981846
332.5,2.017299112419449
322.5,2.3409283821254303
317.5,2.2742582411304424
312.5,2.0390204466607598
307.5,2.196751790270484
302.5,1.9372032214176855
297.5,2.3067945898263558
292.5,1.770362423691092
277.5,2.1575501118694684
272.5,1.8526600835700526
262.5,2.0476025555928428
267.5,1.7410634668244012
257.5,2.078921381039887
252.5,1.8968693223785071
247.5,1.7644318954585765
237.5,1.7274708295165186
232.5,1.8552325287671643
242.5,1.7672006814632688
227.5,1.946619807181608
172.5,2.3890597047228685
167.5,2.377592011887147
162.5,2.2749825276701237
142.5,2.0820438622316835
152.5,2.4687409727359753
92.5,2.095723051748351
77.5,1.9602932638835369
97.5,2.6060465514419047
67.5,1.9464293322971997
132.5,2.2078829883620155
112.5,2.68256343052931
137.5,2.2018450712050788
117.5,2.271075589450297
122.5,2.590871664411457
107.5,2.5795934822322804
27.5,1.9566421193925967
37.5,2.151018720741818
42.5,2.3191492263240834
